2020-03-20 | 12:00:34.752 | [] |  INFO | ContextLoader                  | (   284) | Root WebApplicationContext: initialization completed in 1090 ms
2020-03-20 | 12:00:34.855 | [] |  INFO | LogHelper                      | (    31) | HHH000204: Processing PersistenceUnitInfo [name: default]
2020-03-20 | 12:00:34.919 | [] |  INFO | Version                        | (    44) | HHH000412: Hibernate ORM core version 5.4.12.Final
2020-03-20 | 12:00:35.012 | [] |  INFO | Version                        | (    49) | HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
2020-03-20 | 12:00:35.071 | [] |  INFO | HikariDataSource               | (   110) | HikariPool-1 - Starting...
2020-03-20 | 12:00:35.195 | [] |  INFO | HikariDataSource               | (   123) | HikariPool-1 - Start completed.
2020-03-20 | 12:00:35.219 | [] |  INFO | Dialect                        | (   172) | HHH000400: Using dialect: org.hibernate.dialect.MySQL8Dialect
2020-03-20 | 12:00:36.311 | [] |  INFO | JtaPlatformInitiator           | (    52) | HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2020-03-20 | 12:00:36.316 | [] |  INFO | LocalContainerEntityManagerFactoryBean | (   416) | Initialized JPA EntityManagerFactory for persistence unit 'default'
2020-03-20 | 12:00:36.557 | [] |  WARN | JpaBaseConfiguration$JpaWebConfiguration | (   220) | spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2020-03-20 | 12:00:36.653 | [] |  INFO | ThreadPoolTaskExecutor         | (   181) | Initializing ExecutorService 'applicationTaskExecutor'
2020-03-20 | 12:00:36.750 | [] |  WARN | Configuration$DefaultTemplateResolverConfiguration | (   106) | Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
2020-03-20 | 12:00:36.857 | [] |  INFO | TomcatWebServer                | (   204) | Tomcat started on port(s): 8080 (http) with context path '/api'
2020-03-20 | 12:00:36.859 | [] |  INFO | HotelAppApplication            | (    61) | Started HotelAppApplication in 3.669 seconds (JVM running for 4.611)
